Siliana;33573;Kesra;9.381839209170000;35.794276991799997;4000;
Siliana;33574;Laroussa;9.462731970229999;36.385154638099998;4000;
Siliana;33575;Makthar;9.155757328290001;35.862485775800003;4000;
Siliana;33576;Rouhia;9.203826602400000;35.653060103599998;4000;
Siliana;33577;Siliana Nord;9.295279526410001;36.056950555800000;4000;
Siliana;33578;Siliana Sud;9.399691790280000;35.969894322700000;4000;
Sousse;33579;Akouda;10.537363634300000;35.935013025799996;3000;
Sousse;33580;Bouficha;10.424621644100000;36.290426729499998;3000;
Sousse;33581;Enfidha;10.319519779000000;36.138966674000002;3000;
Ariana;33369;Ariana Médina;10.157858138200000;36.872173713099997;1600;
Ariana;33370;Ettadhamen;10.081255339600000;36.844237205699997;1600;
Ariana;33371;Kalaat El Andalous;10.115251546700000;37.033605688000002;1600;
Ariana;33372;Mnihla;10.082727377599999;36.873633924799996;1600;
Ariana;33373;Raoued;10.158797645700000;36.940706237400001;1600;
Ariana;33374;Sebkhet Ariana;10.235899218400000;36.917531538100000;1600;
Ariana;33375;Sidi Thabet;10.022671308200000;36.926243469100001;1600;
Ariana;33376;Soukra;10.212200343399999;36.894571058899999;1600;
Béja;33377;Amdoun;9.042185705970001;36.809128585400003;3500;
Béja;33378;Béja Nord;9.234989049510000;36.814992293499998;3500;
Béja;33379;Béja Sud;9.188368181660000;36.659203728999998;3500;
Béja;33380;Goubellat;9.682731410770000;36.542147133100002;3500;
Béja;33381;Mejez El Bab;9.609936485870000;36.711781979599998;3500;
Béja;33382;Nefza;9.072081606899999;36.993702060200000;3500;
Béja;33383;Téboursouk;9.242918402190000;36.476989815499998;3500;
Béja;33384;Testour;9.430207614560001;36.599385255599998;3500;
Béja;33385;Thibar;9.098794261029999;36.508995314600000;3500;
Ben Arous (Tunis Sud);33386;Ben Arous;10.217986816900000;36.752160005000000;1500;
Ben Arous (Tunis Sud);33387;Boumhel;10.295197503600001;36.712976996800002;1500;
Ben Arous (Tunis Sud);33388;El Mourouj;10.203629542000000;36.733014554100002;1500;
Ben Arous (Tunis Sud);33389;Ezzahra;10.284281707600000;36.737606968800002;1500;
Ben Arous (Tunis Sud);33390;Fouchana;10.173251329799999;36.709024089000003;1500;
Ben Arous (Tunis Sud);33391;Hammam Chott;10.364717847300000;36.696956091200001;1500;
Ben Arous (Tunis Sud);33392;Hammam Lif;10.332577696200000;36.722284337600001;1500;
Ben Arous (Tunis Sud);33393;Mégrine;10.232386846300001;36.773082926599997;1500;
Ben Arous (Tunis Sud);33394;M'Hamdia;10.072701559800000;36.662750744299998;1500;
Ben Arous (Tunis Sud);33395;Mornag;10.254407110300001;36.602405456500001;1500;
Ben Arous (Tunis Sud);33396;Nouvelle Médina;10.240620852699999;36.740820209600002;1500;
Ben Arous (Tunis Sud);33397;Radès;10.274573757000001;36.772680794999999;1500;
Bizerte;33398;Bizerte Nord;9.829929389420000;37.307210299200001;4850;
Bizerte;33399;Bizerte Sud;9.664032210229999;37.256272536799997;4850;
Bizerte;33400;El Alia;9.988957623519999;37.167967154899998;4850;
Bizerte;33401;Ghar El Melh;10.107487355700000;37.168651007400001;4850;
Bizerte;33402;Ghazala;9.478058530989999;37.094815610100000;4850;
Bizerte;33403;Joumine;9.392921580690000;36.902594033600003;4850;
Bizerte;33404;Lake Ichkeul;9.666098308730000;37.165241319400003;4850;
Bizerte;33405;Mateur;9.653085319180001;36.999585155500000;4850;
Bizerte;33406;Menzel Bourguiba;9.827744541090000;37.119659097000003;4850;
Bizerte;33407;Menzel Jemil;9.941517972870001;37.223192785700000;4850;
Bizerte;33408;Ras Jebel;10.095321874400000;37.227952268000003;4850;
Bizerte;33409;Sejnane;9.272566296080001;37.151088276199999;4850;
Bizerte;33410;Tinja;9.743930656490001;37.134545197199998;4850;
Bizerte;33411;Utique;9.940830592270000;37.039528863299999;4850;
Gabès;33412;Gabès Médina;10.103232800900001;33.887523427399998;1200;
Gabès;33413;Gabès Ouest;9.996795562499999;33.840241924700003;1200;
Gabès;33414;Gabès Sud;10.090716485300000;33.798759584000003;1200;
Gabès;33415;Ghannouch;10.061332639600000;33.939472465400002;1200;
Gabès;33416;Hamma;9.585678870570000;33.881337818200002;1200;
Gabès;33417;Mareth;10.213435930799999;33.578839524899998;1200;
Gabès;33418;Matmata;9.803210836600000;33.447197247500000;1200;
Gabès;33419;Matmata Nouvelle;9.932703700730000;33.630699856100001;1200;
Gabès;33420;Menzel Habib;9.645831920310000;34.163915886600002;1200;
Gabès;33421;Metouia;9.974539496989999;34.046255744100002;1200;
Gafsa;33422;Belkhir;9.382084093330001;34.352548259999999;1200;
Gafsa;33423;Gafsa Nord;8.933632068210001;34.561078597399998;1200;
Gafsa;33424;Gafsa Sud;8.649470000000001;34.395976512600001;1200;
Gafsa;33425;Guetar;9.010956442520000;34.275176418000001;1200;
Gafsa;33426;Ksar;8.814630206190000;34.374213145900001;1200;
Gafsa;33427;Mdhilla;8.696585814240001;34.215382208500003;1200;
Gafsa;33428;Metlaoui;8.429315764080000;34.292233025700000;1200;
Gafsa;33429;Oum Larais;8.367828219090001;34.565027369200003;1200;
Gafsa;33430;Redeyef;8.191649243130000;34.381208277699997;1200;
Gafsa;33431;Sened;9.155221744790000;34.544085319200001;1200;
Gafsa;33432;Sidi Aich;8.803993678130000;34.677411444000001;1200;
Jendouba;33433;Aïn Draham;8.703481680230000;36.786672138299998;7500;
Jendouba;33434;Balta Bou Aouane;8.919577780679999;36.705519285199998;7500;
Jendouba;33435;Bousalem;8.980855398310000;36.571363649600002;7500;
